Gene,log2FoldChange,pvalue,padj
Gm29638,NA,NA,NA
Slc27a5,-0.125662932,0.738784799,NA
Gm31649,0.100024147,0.790380496,NA
Vmn1r85,NA,NA,NA
Vmn1r86,NA,NA,NA
Vmn1r87,NA,NA,NA
Gm38946,NA,NA,NA
Vmn1r88,NA,NA,NA
Gm38947,NA,NA,NA
Vmn1r89,NA,NA,NA
Cabp5,0.412354819,0.286887487,NA
Bsph1,NA,NA,NA
LOC115486832,NA,NA,NA
Bsph2,NA,NA,NA
Sult2a5,NA,NA,NA
Tmem167-ps1,NA,NA,NA
Sult2a2,NA,NA,NA
Sult2a1,NA,NA,NA
Sult2a4,NA,NA,NA
Sult2a3,NA,NA,NA
Sult2a6,NA,NA,NA
Sult2a8,NA,NA,NA
Sult2a7,NA,NA,NA
Gm38596,NA,NA,NA
Vmn1r90,NA,NA,NA
Obox7,NA,NA,NA
Gm26056,NA,NA,NA
Gm24701,NA,NA,NA
Obox2,NA,NA,NA
Obox1,NA,NA,NA
Gm25354,NA,NA,NA
Obox3,NA,NA,NA
Gm23714,NA,NA,NA
Obox5,NA,NA,NA
Obox6,-0.171104347,0.587628247,NA
Crx,0.140838661,0.638968636,NA
Crxos,NA,NA,NA
Snord23,-0.007258667,0.981934221,NA
Gm24576,0.062606314,0.829326413,NA
LOC115486844,NA,NA,NA
Inafm1,NA,NA,NA
n-R5s151,NA,NA,NA
Gm29443,-0.096316911,0.782136101,NA
Gm24708,NA,NA,NA
Ceacam-ps1,0.135405395,0.646040312,NA
Ceacam15,NA,NA,NA
Ceacam9,NA,NA,NA
Gm32630,NA,NA,NA
Gm25815,NA,NA,NA
Psg16,NA,NA,NA
Ceacam3,NA,NA,NA
Psg29,NA,NA,NA
Gm42373,NA,NA,NA
Gm32772,NA,NA,NA
Gm32846,NA,NA,NA
Gm39557,NA,NA,NA
Gm33109,NA,NA,NA
Gm9519,NA,NA,NA
Psg-ps1,NA,NA,NA
Ceacam5,NA,NA,NA
Ceacam14,NA,NA,NA
Gm5155,NA,NA,NA
Ceacam11,NA,NA,NA
Ceacam13,NA,NA,NA
Ceacam12,NA,NA,NA
Igfl3,NA,NA,NA
Mill1,NA,NA,NA
Psg18,-0.074302853,0.798075179,NA
Psg28,NA,NA,NA
Psg26,NA,NA,NA
Psg25,0.062606314,0.829326413,NA
Gm26062,NA,NA,NA
Psg27,NA,NA,NA
Psg23,NA,NA,NA
Psg21,NA,NA,NA
Psg20,NA,NA,NA
Psg22,NA,NA,NA
Gm24464,-0.157089233,0.604723688,NA
Psg19,NA,NA,NA
Nanos2,0.161467892,0.613277245,NA
Mir3100,-0.181214532,0.5757446,NA
Gm25134,NA,NA,NA
n-TUtca2,NA,NA,NA
D830036C21Rik,NA,NA,NA
Gm38954,NA,NA,NA
Ckm,NA,NA,NA
A930016O22Rik,NA,NA,NA
Gm44805,NA,NA,NA
Apoc2,NA,NA,NA
Apoc4,-0.074302853,0.798075179,NA
Cblc,-0.006990353,0.982302867,NA
Gm19345,0.062606314,0.829326413,NA
Ceacam16,-0.029246716,0.943625268,NA
Ceacam19,NA,NA,NA
Nlrp9b,0.062606314,0.829326413,NA
Vmn1r91,NA,NA,NA
Vmn1r240,NA,NA,NA
Vmn1r93,NA,NA,NA
Vmn1r94,NA,NA,NA
Vmn1r95,NA,NA,NA
Vmn1r241,NA,NA,NA
Vmn1r242,NA,NA,NA
Vmn1r243,NA,NA,NA
Vmn1r-ps79,NA,NA,NA
Vmn1r244,NA,NA,NA
Vmn1r100,NA,NA,NA
Vmn1r101,NA,NA,NA
Gm10670,NA,NA,NA
Vmn1r103,NA,NA,NA
Vmn1r104,NA,NA,NA
Vmn1r245,NA,NA,NA
Vmn1r246,NA,NA,NA
Gm4513,NA,NA,NA
Vmn1r107,NA,NA,NA
Vmn1r111,NA,NA,NA
Gm10668,NA,NA,NA
Vmn1r112,NA,NA,NA
Vmn1r113,NA,NA,NA
Vmn1r114,NA,NA,NA
Vmn1r115,NA,NA,NA
Vmn1r116,NA,NA,NA
Vmn1r117,NA,NA,NA
Vmn1r118,NA,NA,NA
Vmn1r119,NA,NA,NA
Vmn1r120,NA,NA,NA
Vmn1r121,NA,NA,NA
Vmn1r122,NA,NA,NA
Vmn1r123,NA,NA,NA
Gm5157,NA,NA,NA
